family,coef,se,p.val,target,nobs,name
Alcohol,0.0970945367539539,0.0214100730461518,6.01351134066558e-06,Brain Age Delta,2687,Summed weekly drinks
Alcohol,-0.00447542333127069,0.0201670135253055,0.82439461271601,Fluid Intelligence,2687,Summed weekly drinks
Alcohol,-0.0235950596231584,0.0198985864967137,0.235819916440777,Neuroticism,2687,Summed weekly drinks
Activity,-0.0445078616749625,0.0212156148941725,0.0359985316606704,Brain Age Delta,3022,Summed MET actvity
Activity,-0.119643546453339,0.0189179503968312,2.91926972725209e-10,Fluid Intelligence,3022,Summed MET actvity
Activity,-0.0644361957446047,0.0184563496645054,0.00048761780292822,Neuroticism,3022,Summed MET actvity
Sleep,0.0612146237229458,0.0181413580691671,0.000748056134653911,Brain Age Delta,3504,Sleep duration
Sleep,-0.00245997806125704,0.0171658411119422,0.886056307696694,Fluid Intelligence,3504,Sleep duration
Sleep,-0.102873831238668,0.0169643019884,1.46781564602025e-09,Neuroticism,3504,Sleep duration
Smoking,0.123969686406069,0.0405614442288681,0.00230735827055,Brain Age Delta,896,Pack years
Smoking,-0.129849287453001,0.0312851807857038,3.63563327532631e-05,Fluid Intelligence,896,Pack years
Smoking,0.128837930874577,0.0322864104950232,7.13622480366957e-05,Neuroticism,896,Pack years
