family,coef,se,p.val,target,nobs,name
Alcohol,0.0437077226759276,0.0200277031199035,0.0291691867074169,Age,2687,Summed weekly drinks
Alcohol,0.00582527378729149,0.0198482296407832,0.769169691715605,Fluid Intelligence,2687,Summed weekly drinks
Alcohol,-0.0204110360441132,0.0200408654451836,0.308546103934909,Neuroticism,2687,Summed weekly drinks
Activity,0.0672707216143118,0.0182333308422323,0.000228719072658508,Age,3022,Summed MET actvity
Activity,-0.120897122979571,0.0183162807536761,4.8214513134244e-11,Fluid Intelligence,3022,Summed MET actvity
Activity,-0.0506499644882042,0.0184667622760671,0.00612842459102458,Neuroticism,3022,Summed MET actvity
Sleep,0.0602285544512715,0.0170213037045483,0.000407757948967001,Age,3504,Sleep duration
Sleep,-0.028501600282782,0.0170499107484651,0.0946813963492112,Fluid Intelligence,3504,Sleep duration
Sleep,-0.0550448029308746,0.0170298854574016,0.00123959790449659,Neuroticism,3504,Sleep duration
Smoking,0.156810092143757,0.0354131526176637,1.06892923729539e-05,Age,896,Pack years
Smoking,-0.0485994085078394,0.0351763824953587,0.167442951170626,Fluid Intelligence,896,Pack years
Smoking,0.0778798290847799,0.0337377821718963,0.021205573626067,Neuroticism,896,Pack years
