family,coef,se,p.val,target,nobs,name
Alcohol,0.0991654814927381,0.0196174427305636,4.5511853367312e-07,Brain Age Delta,3144,Summed weekly drinks
Alcohol,-0.00183627101698529,0.0182424769552567,0.919827517020312,Fluid Intelligence,3144,Summed weekly drinks
Alcohol,-0.0180050993844879,0.0199016758498365,0.365704121142936,Neuroticism,3144,Summed weekly drinks
Activity,-0.0507914264148413,0.0197787931696038,0.0102706363351046,Brain Age Delta,3502,Summed MET actvity
Activity,-0.104734260195465,0.0173049977323857,1.57909236132797e-09,Fluid Intelligence,3502,Summed MET actvity
Activity,-0.0575140649539707,0.0185390610775482,0.00193786560721596,Neuroticism,3502,Summed MET actvity
Sleep,0.0436414277911553,0.0168302327694333,0.00954669755435575,Brain Age Delta,4145,Sleep duration
Sleep,0.00753598760506256,0.0156645622215386,0.630481423505399,Fluid Intelligence,4145,Sleep duration
Sleep,-0.0983677026262959,0.0169060934745578,6.47245809054366e-09,Neuroticism,4145,Sleep duration
Smoking,0.121850701047195,0.0378286229756318,0.00131606600778592,Brain Age Delta,1054,Pack years
Smoking,-0.155026291116126,0.0282680639470568,5.2032903740267e-08,Fluid Intelligence,1054,Pack years
Smoking,0.145483003453179,0.0325557627998447,8.87930614557946e-06,Neuroticism,1054,Pack years
