family,coef,se,p.val,target,nobs,name
Alcohol,0.0393251373764699,0.0181117829890979,0.029987184788425,Age,3144,Summed weekly drinks
Alcohol,-0.00451520697880972,0.0179390802564468,0.801291982724555,Fluid Intelligence,3144,Summed weekly drinks
Alcohol,-0.0261866976912085,0.0198540152186505,0.18729419065268,Neuroticism,3144,Summed weekly drinks
Activity,0.070451821661617,0.0166951947507824,2.50629003365437e-05,Age,3502,Summed MET actvity
Activity,-0.121236417820313,0.0167165342100501,5.01317501474823e-13,Fluid Intelligence,3502,Summed MET actvity
Activity,-0.0543882655236563,0.0185042978558599,0.00331530650982488,Neuroticism,3502,Summed MET actvity
Sleep,0.0739382545413561,0.0155005853559197,1.90534781810363e-06,Age,4145,Sleep duration
Sleep,-0.0193865956770233,0.0155341511335935,0.212102172822695,Fluid Intelligence,4145,Sleep duration
Sleep,-0.0613336243140453,0.0169048528118581,0.000289514851556976,Neuroticism,4145,Sleep duration
Smoking,0.126854195007185,0.03144057355296,5.8620532428939e-05,Age,1054,Pack years
Smoking,-0.0672494415087829,0.0315534825244397,0.0332970317097194,Fluid Intelligence,1054,Pack years
Smoking,0.05776454190033,0.0337054586949337,0.0869114162062445,Neuroticism,1054,Pack years
