Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6885421094940625,0,median,3.3057917403052643,validation,17.218969046944,0.6881983269217864,Age,Life style (LS),third
RandomForest,no,0.6873154906427019,1,median,3.323447454957132,validation,17.42007194801065,0.6861897969879844,Age,Life style (LS),third
RandomForest,no,0.6309646378394806,2,median,3.655627750721631,validation,21.375061473807964,0.6288236111243073,Age,Life style (LS),third
RandomForest,no,0.6804836817428312,3,median,3.2897862232779103,validation,17.499534517814727,0.6776409481306691,Age,Life style (LS),third
RandomForest,no,0.6913471334357091,4,median,3.5646935866983376,validation,19.041575220902608,0.6887648713921528,Age,Life style (LS),third
RandomForest,no,0.6732196517985376,5,median,3.4599992650414766,validation,17.96299584881892,0.671854824115754,Age,Life style (LS),third
RandomForest,no,0.6661778558783026,6,median,3.674801462073386,validation,20.39822954376715,0.6661599817237788,Age,Life style (LS),third
RandomForest,no,0.6417119422326337,7,median,3.4475914489311164,validation,19.117921330166272,0.6407900933071533,Age,Life style (LS),third
RandomForest,no,0.6313837929432551,8,median,3.47212351543943,validation,19.153122850356297,0.6310471817145957,Age,Life style (LS),third
RandomForest,no,0.7028910491746163,9,median,3.090372241268819,validation,15.534345370934725,0.7028534050981222,Age,Life style (LS),third
RandomForest,no,0.6620050992685105,10,median,3.4906542595299648,validation,19.409775124626602,0.6614533016971438,Age,Life style (LS),third
RandomForest,no,0.6439542539213121,11,median,3.617178147268408,validation,19.919162299287407,0.6404673959488667,Age,Life style (LS),third
RandomForest,no,0.6753429861838675,12,median,3.3760855106888368,validation,17.956776095011875,0.6745975302629453,Age,Life style (LS),third
RandomForest,no,0.6933468982728805,13,median,3.4533776722090264,validation,18.399851325415682,0.692727128685885,Age,Life style (LS),third
RandomForest,no,0.6383646515741953,14,median,3.650945368171021,validation,20.471079676959626,0.636955138928262,Age,Life style (LS),third
RandomForest,no,0.653974085639673,15,median,3.420731591448931,validation,18.5793087695962,0.6503685218002127,Age,Life style (LS),third
RandomForest,no,0.6554574426285404,16,median,3.4118095831281745,validation,18.697617555498567,0.6553828706851819,Age,Life style (LS),third
RandomForest,no,0.6862616754582359,17,median,3.331963749649685,validation,17.442800351512876,0.6861644055211624,Age,Life style (LS),third
RandomForest,no,0.6964205906529501,18,median,3.5670469545847676,validation,19.486703453316654,0.6954914812404607,Age,Life style (LS),third
RandomForest,no,0.6651443609465424,19,median,3.4196009501187654,validation,18.269285586698338,0.663169676128166,Age,Life style (LS),third
RandomForest,no,0.6585491436307951,20,median,3.4570297350978705,validation,18.783352332708517,0.6578865220131184,Age,Life style (LS),third
RandomForest,no,0.6760368904651313,21,median,3.5578360566844864,validation,19.283507041092406,0.6759263897303265,Age,Life style (LS),third
RandomForest,no,0.6740472177292027,22,median,3.393555930589608,validation,17.486382762605874,0.6737810335772567,Age,Life style (LS),third
RandomForest,no,0.6676920987783939,23,median,3.299068883610451,validation,18.202355420427555,0.6676602910362122,Age,Life style (LS),third
RandomForest,no,0.6906262541353778,24,median,3.4418052256532072,validation,18.513353501187648,0.6902820025239373,Age,Life style (LS),third
RandomForest,no,0.7115512442521658,25,median,3.194118764845605,validation,15.773995819477436,0.7096643460601442,Age,Life style (LS),third
RandomForest,no,0.6668966930562609,26,median,3.572237835402949,validation,19.629806214263198,0.6654788634203834,Age,Life style (LS),third
RandomForest,no,0.6786503659642246,27,median,3.3377577197149644,validation,17.69368570071259,0.6783192937982399,Age,Life style (LS),third
RandomForest,no,0.6924730376242941,28,median,3.2883325415676965,validation,16.955689843230402,0.6924633295036096,Age,Life style (LS),third
RandomForest,no,0.6696805539838574,29,median,3.435766552649567,validation,19.248781626123684,0.6686448252851134,Age,Life style (LS),third
RandomForest,no,0.6670595199500489,30,median,3.4004085510688835,validation,18.244601273159144,0.6634866511690636,Age,Life style (LS),third
RandomForest,no,0.7162252219131515,31,median,3.3944262841566686,validation,17.539940039999625,0.7157874444035467,Age,Life style (LS),third
RandomForest,no,0.6762193133356995,32,median,3.540728190552308,validation,19.721470688296108,0.6757083127900116,Age,Life style (LS),third
RandomForest,no,0.7099014438553769,33,median,3.125097833372819,validation,15.773105169365628,0.7095396949688293,Age,Life style (LS),third
RandomForest,no,0.6881424847949698,34,median,3.3818850824763373,validation,17.73990020794079,0.6878693338761819,Age,Life style (LS),third
RandomForest,no,0.7153281931969344,35,median,3.279009279738962,validation,16.866771469279715,0.7150319598754192,Age,Life style (LS),third
RandomForest,no,0.6514213085035802,36,median,3.5574564614325053,validation,19.86397401025118,0.6491129714340997,Age,Life style (LS),third
RandomForest,no,0.6682938070362565,37,median,3.4650071258907365,validation,19.317136798099767,0.6631092212194467,Age,Life style (LS),third
RandomForest,no,0.674930990895551,38,median,3.5168646080760086,validation,18.49244343942993,0.6742969175599203,Age,Life style (LS),third
RandomForest,no,0.7090228614387439,39,median,3.1298147268408547,validation,15.09091644655582,0.7083925468811633,Age,Life style (LS),third
RandomForest,no,0.6746722249702151,40,median,3.3505407287996007,validation,17.99444519891304,0.6746420886804985,Age,Life style (LS),third
RandomForest,no,0.6603212506228916,41,median,3.533051587952622,validation,18.77062981731061,0.6596392893892287,Age,Life style (LS),third
RandomForest,no,0.6665603753609926,42,median,3.3864206865698923,validation,18.0129888239056,0.6659718748489116,Age,Life style (LS),third
RandomForest,no,0.6806530567516832,43,median,3.4886662549057967,validation,18.50302335202253,0.6804862383363562,Age,Life style (LS),third
RandomForest,no,0.7086654304732298,44,median,3.209187648456057,validation,16.19164986223278,0.7075383685030305,Age,Life style (LS),third
RandomForest,no,0.6721318601872288,45,median,3.228951450203268,validation,16.359161494240723,0.6720794525839358,Age,Life style (LS),third
RandomForest,no,0.6880433183600556,46,median,3.272642112412638,validation,16.785714989020313,0.6873996528886657,Age,Life style (LS),third
RandomForest,no,0.6749036223224224,47,median,3.1857482185273165,validation,16.449277035629457,0.6747824405261242,Age,Life style (LS),third
RandomForest,no,0.6854148915119033,48,median,3.4922755344418053,validation,18.792527733966747,0.685381250343966,Age,Life style (LS),third
RandomForest,no,0.6675966836623655,49,median,3.3548763765081246,validation,18.193322846220685,0.6675953083428703,Age,Life style (LS),third
RandomForest,no,0.664908326611797,50,median,3.4440770275411237,validation,18.43708258549178,0.6639275741156342,Age,Life style (LS),third
RandomForest,no,0.6742254914908186,51,median,3.4167966907800684,validation,18.96624508009837,0.6738787781304397,Age,Life style (LS),third
RandomForest,no,0.6902751188111214,52,median,3.4320940841790506,validation,17.78953066791656,0.6896036967264916,Age,Life style (LS),third
RandomForest,no,0.6767754412831428,53,median,3.5388731992758924,validation,19.354636772417198,0.6766627862156307,Age,Life style (LS),third
RandomForest,no,0.6836642924248808,54,median,3.4073474402265385,validation,17.839599327890564,0.6831183555676723,Age,Life style (LS),third
RandomForest,no,0.5876858793351408,55,median,3.7449691211401435,validation,22.293851819477425,0.5871290645871672,Age,Life style (LS),third
RandomForest,no,0.6971255988845491,56,median,3.463496437054632,validation,18.650596522565323,0.6965692564191202,Age,Life style (LS),third
RandomForest,no,0.6951797869251662,57,median,3.4306401153373725,validation,17.650430960263353,0.6947767668816789,Age,Life style (LS),third
RandomForest,no,0.6696055345054439,58,median,3.4369177895727394,validation,17.980615943007926,0.6686759137002012,Age,Life style (LS),third
RandomForest,no,0.690371441060031,59,median,3.433423481046456,validation,18.207902288386787,0.6893119674592656,Age,Life style (LS),third
RandomForest,no,0.6810665691614364,60,median,3.3784608076009506,validation,17.116722356294538,0.6810340164267559,Age,Life style (LS),third
RandomForest,no,0.6713549756988644,61,median,3.428955831982282,validation,18.59019768378235,0.6694959194684816,Age,Life style (LS),third
RandomForest,no,0.6896962398487544,62,median,3.5149833729216162,validation,18.984223315914488,0.6894475182498513,Age,Life style (LS),third
RandomForest,no,0.6263970914372995,63,median,3.550783819863069,validation,20.562406505990687,0.6261733820860045,Age,Life style (LS),third
RandomForest,no,0.7096783423422378,64,median,3.3808257556936296,validation,17.850144921329807,0.7094431610103513,Age,Life style (LS),third
