Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.006376824417078653,0,median,6.22930377559245,validation,54.874250123675004,0.006335225365256325,Age,Early Life (EL),third
RandomForest,no,0.025699203977566087,0,median,6.103600486208649,generalization,53.35254016599915,0.02421211149929892,Age,Early Life (EL),third
RandomForest,no,0.0012790316489752485,1,median,6.32042532785655,validation,55.70380185638851,-0.0034643611842606337,Age,Early Life (EL),third
RandomForest,no,0.027942538453726958,1,median,6.110055791596005,generalization,53.24549374680346,0.0261699301717282,Age,Early Life (EL),third
RandomForest,no,0.047155901060322865,2,median,6.223847087765853,validation,54.898871045120686,0.04668509455051273,Age,Early Life (EL),third
RandomForest,no,0.025891488401372783,2,median,6.1194307682730225,generalization,53.341972522817905,0.02440538773683465,Age,Early Life (EL),third
RandomForest,no,0.0562938653607904,3,median,6.017576567769883,validation,51.55045932732785,0.05038861603610989,Age,Early Life (EL),third
RandomForest,no,0.027962333470947683,3,median,6.103834418133823,generalization,53.20160216126077,0.02697268253265428,Age,Early Life (EL),third
RandomForest,no,0.045153312453873,4,median,6.426718415265096,validation,58.41876197492161,0.045143551127169834,Age,Early Life (EL),third
RandomForest,no,0.02381060771560517,4,median,6.11442361855531,generalization,53.463881720490896,0.02217573722317534,Age,Early Life (EL),third
RandomForest,no,0.033907478067118364,5,median,6.131314144441285,validation,52.91580630604005,0.03334239380265147,Age,Early Life (EL),third
RandomForest,no,0.025495081677477268,5,median,6.105280714208282,generalization,53.36533102925529,0.023978173819669046,Age,Early Life (EL),third
RandomForest,no,0.06571701581605516,6,median,6.449422344025872,validation,57.164574417357656,0.06443730681154591,Age,Early Life (EL),third
RandomForest,no,0.027617564098278532,6,median,6.118170602130803,generalization,53.26061543524196,0.02589336301323764,Age,Early Life (EL),third
RandomForest,no,0.027406009859150315,7,median,6.015616226574916,validation,51.841828353055064,0.025934985091523918,Age,Early Life (EL),third
RandomForest,no,0.026083304432286902,7,median,6.1060891726737925,generalization,53.32238268700636,0.02476367479239283,Age,Early Life (EL),third
RandomForest,no,0.05713910740406593,8,median,5.848937176323335,validation,49.132373842117275,0.05354714530199845,Age,Early Life (EL),third
RandomForest,no,0.0287973223108573,8,median,6.112897842133112,generalization,53.19774173363077,0.027043287578150887,Age,Early Life (EL),third
RandomForest,no,0.047017122001435374,9,median,5.930635785337179,validation,49.86658887599742,0.046133793857907064,Age,Early Life (EL),third
RandomForest,no,0.02858012078608552,9,median,6.1133500280850575,generalization,53.18071847014778,0.027354633472419176,Age,Early Life (EL),third
RandomForest,no,0.036049077376748666,10,median,6.245814151935201,validation,55.31270189136774,0.03523186233241138,Age,Early Life (EL),third
RandomForest,no,0.027355761750060714,10,median,6.101045106052019,generalization,53.25385909970559,0.026016932582119123,Age,Early Life (EL),third
RandomForest,no,0.01718704903124424,11,median,6.288243427590041,validation,54.655709472036975,0.013487150840343132,Age,Early Life (EL),third
RandomForest,no,0.027143640606485556,11,median,6.115645830151245,generalization,53.25382175745777,0.0260176155507843,Age,Early Life (EL),third
RandomForest,no,0.04088992894399979,12,median,6.09686611657946,validation,53.4516458502025,0.031379715426875336,Age,Early Life (EL),third
