Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Imaging,0,middle vs high,validation,0.6978944156240463,Age
RandomForest,no,Imaging,0,middle vs high,generalization,0.6871056114753593,Age
RandomForest,no,Imaging,1,middle vs high,validation,0.6657576650943396,Age
RandomForest,no,Imaging,1,middle vs high,generalization,0.6738226759235162,Age
RandomForest,no,Imaging,2,middle vs high,validation,0.7392141756548535,Age
RandomForest,no,Imaging,2,middle vs high,generalization,0.6862717114817956,Age
RandomForest,no,Imaging,3,middle vs high,validation,0.7195559095887682,Age
RandomForest,no,Imaging,3,middle vs high,generalization,0.6873875424295592,Age
RandomForest,no,Imaging,4,middle vs high,validation,0.7017462763225475,Age
RandomForest,no,Imaging,4,middle vs high,generalization,0.6888391720324493,Age
RandomForest,no,Imaging,5,middle vs high,validation,0.7194074074074075,Age
RandomForest,no,Imaging,5,middle vs high,generalization,0.6791247967718556,Age
RandomForest,no,Imaging,6,middle vs high,validation,0.6764914054600607,Age
RandomForest,no,Imaging,6,middle vs high,generalization,0.6770771245561161,Age
RandomForest,no,Imaging,7,middle vs high,validation,0.703537874339401,Age
RandomForest,no,Imaging,7,middle vs high,generalization,0.6788428658176557,Age
RandomForest,no,Imaging,8,middle vs high,validation,0.6910631741140215,Age
RandomForest,no,Imaging,8,middle vs high,generalization,0.6874616979658996,Age
RandomForest,no,Imaging,9,middle vs high,validation,0.6396702964307319,Age
RandomForest,no,Imaging,9,middle vs high,generalization,0.6847137456381154,Age
RandomForest,no,Imaging,10,middle vs high,validation,0.7148702594810379,Age
RandomForest,no,Imaging,10,middle vs high,generalization,0.6901879632972071,Age
RandomForest,no,Imaging,11,middle vs high,validation,0.6621808826439739,Age
RandomForest,no,Imaging,11,middle vs high,generalization,0.6797138435793898,Age
RandomForest,no,Imaging,12,middle vs high,validation,0.689642857142857,Age
RandomForest,no,Imaging,12,middle vs high,generalization,0.6771058073579082,Age
