Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,0,low vs high,validation,0.7548094709581946,Neuroticism
RandomForest,no,Non-imaging,0,low vs high,generalization,0.7706125380038423,Neuroticism
RandomForest,no,Non-imaging,1,low vs high,validation,0.7923603403625601,Neuroticism
RandomForest,no,Non-imaging,1,low vs high,generalization,0.7744768059985452,Neuroticism
RandomForest,no,Non-imaging,2,low vs high,validation,0.7113335186729682,Neuroticism
RandomForest,no,Non-imaging,2,low vs high,generalization,0.778345270736575,Neuroticism
RandomForest,no,Non-imaging,3,low vs high,validation,0.7678571428571428,Neuroticism
RandomForest,no,Non-imaging,3,low vs high,generalization,0.7711021580586799,Neuroticism
RandomForest,no,Non-imaging,4,low vs high,validation,0.7372991548249279,Neuroticism
RandomForest,no,Non-imaging,4,low vs high,generalization,0.7720692742431873,Neuroticism
RandomForest,no,Non-imaging,5,low vs high,validation,0.7896296296296297,Neuroticism
RandomForest,no,Non-imaging,5,low vs high,generalization,0.7773692947605991,Neuroticism
RandomForest,no,Non-imaging,6,low vs high,validation,0.8121521335807049,Neuroticism
RandomForest,no,Non-imaging,6,low vs high,generalization,0.7720590155372765,Neuroticism
RandomForest,no,Non-imaging,7,low vs high,validation,0.7466870540265037,Neuroticism
RandomForest,no,Non-imaging,7,low vs high,generalization,0.7667524667524668,Neuroticism
RandomForest,no,Non-imaging,8,low vs high,validation,0.7736773954864965,Neuroticism
RandomForest,no,Non-imaging,8,low vs high,generalization,0.7730265980265981,Neuroticism
RandomForest,no,Non-imaging,9,low vs high,validation,0.7548076923076925,Neuroticism
RandomForest,no,Non-imaging,9,low vs high,generalization,0.7691688582992929,Neuroticism
RandomForest,no,Non-imaging,10,low vs high,validation,0.7548076923076923,Neuroticism
RandomForest,no,Non-imaging,10,low vs high,generalization,0.7691660604704083,Neuroticism
RandomForest,no,Non-imaging,11,low vs high,validation,0.7569340329835083,Neuroticism
RandomForest,no,Non-imaging,11,low vs high,generalization,0.7710821069516721,Neuroticism
RandomForest,no,Non-imaging,12,low vs high,validation,0.7585824002961044,Neuroticism
RandomForest,no,Non-imaging,12,low vs high,generalization,0.7725523660306269,Neuroticism
RandomForest,no,Non-imaging,13,low vs high,validation,0.7379472693032016,Neuroticism
RandomForest,no,Non-imaging,13,low vs high,generalization,0.7730363904276948,Neuroticism
RandomForest,no,Non-imaging,14,low vs high,validation,0.7598705501618123,Neuroticism
RandomForest,no,Non-imaging,14,low vs high,generalization,0.7725421073247161,Neuroticism
RandomForest,no,Non-imaging,15,low vs high,validation,0.7939703153988869,Neuroticism
RandomForest,no,Non-imaging,15,low vs high,generalization,0.7701327103501017,Neuroticism
RandomForest,no,Non-imaging,16,low vs high,validation,0.7855555555555557,Neuroticism
RandomForest,no,Non-imaging,16,low vs high,generalization,0.7696486859530338,Neuroticism
RandomForest,no,Non-imaging,17,low vs high,validation,0.7989930654507458,Neuroticism
RandomForest,no,Non-imaging,17,low vs high,generalization,0.7793058586536847,Neuroticism
RandomForest,no,Non-imaging,18,low vs high,validation,0.8097529379106134,Neuroticism
RandomForest,no,Non-imaging,18,low vs high,generalization,0.7710932982672113,Neuroticism
RandomForest,no,Non-imaging,19,low vs high,validation,0.7770623366927958,Neuroticism
RandomForest,no,Non-imaging,19,low vs high,generalization,0.7686787719396415,Neuroticism
RandomForest,no,Non-imaging,20,low vs high,validation,0.7752391566824557,Neuroticism
RandomForest,no,Non-imaging,20,low vs high,generalization,0.7667524667524668,Neuroticism
RandomForest,no,Non-imaging,21,low vs high,validation,0.8226612380864253,Neuroticism
RandomForest,no,Non-imaging,21,low vs high,generalization,0.7691679256896649,Neuroticism
RandomForest,no,Non-imaging,22,low vs high,validation,0.775921658986175,Neuroticism
RandomForest,no,Non-imaging,22,low vs high,generalization,0.7706265271482663,Neuroticism
RandomForest,no,Non-imaging,23,low vs high,validation,0.8113722587211992,Neuroticism
