family,coef,se,p.val,target,nobs,name
Alcohol,0.0397205189729489,0.020327986507471,0.050810630178237,Age,2599,Summed weekly drinks
Alcohol,0.00549349646231323,0.020262200981792,0.786319979657305,Fluid Intelligence,2599,Summed weekly drinks
Alcohol,-0.0194822732436294,0.0203540837074705,0.338571735842847,Neuroticism,2599,Summed weekly drinks
Activity,0.0531156536248998,0.0185320050348029,0.00418468248832804,Age,2916,Summed MET actvity
Activity,-0.122018713435477,0.0187005717357432,7.99756370421623e-11,Fluid Intelligence,2916,Summed MET actvity
Activity,-0.0506219621183093,0.0187303598844889,0.00691844451071794,Neuroticism,2916,Summed MET actvity
Sleep,0.0433827443463112,0.0172401776550073,0.0119029421782131,Age,3378,Sleep duration
Sleep,-0.0291602292909043,0.0173265898537948,0.0924723184267181,Fluid Intelligence,3378,Sleep duration
Sleep,-0.0594889445376229,0.017192279979568,0.000546442380559746,Neuroticism,3378,Sleep duration
Smoking,0.18307917780508,0.0364558683262743,6.22724231588254e-07,Age,859,Pack years
Smoking,-0.0596258514620143,0.0359551076199483,0.0976153188701932,Fluid Intelligence,859,Pack years
Smoking,0.0760588312010462,0.0344214506263955,0.0273948473993622,Neuroticism,859,Pack years
