Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.5191284598446035,0,3.782995878657303,"sMRI, dMRI, fMRI (full MRI)",validation,22.039654584795613,0.5185606237726661,Age
RandomForest,no,0.502888691306052,0,4.0261516007600715,"sMRI, dMRI, fMRI (full MRI)",generalization,24.583275358397408,0.5028259344558026,Age
RandomForest,no,0.4222382286269785,1,4.248392651759643,"sMRI, dMRI, fMRI (full MRI)",validation,27.553945254162407,0.4210720998850994,Age
RandomForest,no,0.4990388751066733,1,4.033991911831103,"sMRI, dMRI, fMRI (full MRI)",generalization,24.771846077458683,0.4990122656231724,Age
RandomForest,no,0.4825406334380992,2,3.9043208597523535,"sMRI, dMRI, fMRI (full MRI)",validation,23.77498004000805,0.4801100956280845,Age
RandomForest,no,0.5020109939408268,2,4.027132043930306,"sMRI, dMRI, fMRI (full MRI)",generalization,24.626744872155875,0.501946803641562,Age
RandomForest,no,0.5106608660318972,3,4.06881795511222,"sMRI, dMRI, fMRI (full MRI)",validation,25.37815297755611,0.5102742964276277,Age
RandomForest,no,0.5017425505066405,3,4.030451097804392,"sMRI, dMRI, fMRI (full MRI)",generalization,24.636862946107787,0.5017421749300168,Age
RandomForest,no,0.5065585939883651,4,3.984066501206847,"sMRI, dMRI, fMRI (full MRI)",validation,23.94131064551111,0.5056249268850885,Age
RandomForest,no,0.5071002878573395,4,4.0120310575053795,"sMRI, dMRI, fMRI (full MRI)",generalization,24.372109675619747,0.5070965655852759,Age
RandomForest,no,0.47985232529306704,5,4.085531937636242,"sMRI, dMRI, fMRI (full MRI)",validation,25.789689480673985,0.4781352212148947,Age
RandomForest,no,0.506409008915484,5,4.008934744102431,"sMRI, dMRI, fMRI (full MRI)",generalization,24.406319568622195,0.5064047020586345,Age
RandomForest,no,0.41480038850116063,6,4.3260681994470485,"sMRI, dMRI, fMRI (full MRI)",validation,29.31707120679239,0.41449313642740016,Age
RandomForest,no,0.5001647046044426,6,4.029188964017587,"sMRI, dMRI, fMRI (full MRI)",generalization,24.715225667582164,0.500157361179427,Age
RandomForest,no,0.4772156716176286,7,4.064933078209621,"sMRI, dMRI, fMRI (full MRI)",validation,25.37750892840065,0.4770881455019476,Age
RandomForest,no,0.501319018659452,7,4.0233548590846535,"sMRI, dMRI, fMRI (full MRI)",generalization,24.658044228427286,0.5013138030352755,Age
RandomForest,no,0.5219428847002162,8,3.950204488778055,"sMRI, dMRI, fMRI (full MRI)",validation,24.11879956109725,0.5218483689076254,Age
RandomForest,no,0.4997664321795294,8,4.039018962075848,"sMRI, dMRI, fMRI (full MRI)",generalization,24.73497090219561,0.49975803202475705,Age
RandomForest,no,0.463251697890419,9,4.06881795511222,"sMRI, dMRI, fMRI (full MRI)",validation,25.0743458553616,0.4628488751493093,Age
RandomForest,no,0.5055902619446399,9,4.012094810379241,"sMRI, dMRI, fMRI (full MRI)",generalization,24.449054487025947,0.5055404277577635,Age
RandomForest,no,0.4668711231997074,10,4.114705579700937,"sMRI, dMRI, fMRI (full MRI)",validation,26.108490581701837,0.4652950259823026,Age
RandomForest,no,0.4986205518840207,10,4.046934879839954,"sMRI, dMRI, fMRI (full MRI)",generalization,24.794770885564102,0.4985486325278494,Age
RandomForest,no,0.4522825862460242,11,4.248369225722263,"sMRI, dMRI, fMRI (full MRI)",validation,27.091531852475928,0.4514618197570427,Age
RandomForest,no,0.5030473398933699,11,4.028002636301806,"sMRI, dMRI, fMRI (full MRI)",generalization,24.573582994702875,0.5030219535701188,Age
RandomForest,no,0.5205841630568757,12,3.781815998683288,"sMRI, dMRI, fMRI (full MRI)",validation,23.251441997339274,0.5205662942333966,Age
RandomForest,no,0.5028038449461214,12,4.024613649483042,"sMRI, dMRI, fMRI (full MRI)",generalization,24.58475929204757,0.5027959232666875,Age
RandomForest,no,0.44579359617277947,13,4.299143455503141,"sMRI, dMRI, fMRI (full MRI)",validation,27.69559426800032,0.44154156890134855,Age
RandomForest,no,0.5004169794244695,13,4.022857225454431,"sMRI, dMRI, fMRI (full MRI)",generalization,24.703750499454642,0.5003894358687265,Age
RandomForest,no,0.4580946798911222,14,4.167883691711205,"sMRI, dMRI, fMRI (full MRI)",validation,27.550469662529625,0.4551279691855391,Age
RandomForest,no,0.5039212793541388,14,4.018300501600299,"sMRI, dMRI, fMRI (full MRI)",generalization,24.52920537113441,0.5039194500675164,Age
RandomForest,no,0.4907402099607125,15,3.933316708229426,"sMRI, dMRI, fMRI (full MRI)",validation,24.671930693266834,0.4853933926007559,Age
RandomForest,no,0.5030409940443363,15,4.024690618762476,"sMRI, dMRI, fMRI (full MRI)",generalization,24.57832505389221,0.5029260497976619,Age
RandomForest,no,0.4636954860214886,16,4.259057300364743,"sMRI, dMRI, fMRI (full MRI)",validation,27.259387346465893,0.4634369827792708,Age
RandomForest,no,0.5023721343914153,16,4.020488454020919,"sMRI, dMRI, fMRI (full MRI)",generalization,24.605799603191997,0.5023704023839132,Age
RandomForest,no,0.4428876590322259,17,4.191869432335207,"sMRI, dMRI, fMRI (full MRI)",validation,27.27444025147123,0.44271087916565854,Age
RandomForest,no,0.5066359796886386,17,4.004152787821635,"sMRI, dMRI, fMRI (full MRI)",generalization,24.39559160921141,0.5066216651409533,Age
