,Data type,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
0,Imaging & Non-imaging,RandomForest,no,0.6779797347212033,0,median,3.00794175350885,validation,14.748930371155119,0.6778209109135569,Age,Life style (LS)
1,Imaging & Non-imaging,RandomForest,no,0.6714352486346333,0,median,3.1984145159418,generalization,16.246622452427946,0.6714270487445001,Age,Life style (LS)
2,Imaging & Non-imaging,RandomForest,no,0.6389432329356344,1,median,3.3791167842037497,validation,17.22923705900585,0.6380015297575108,Age,Life style (LS)
3,Imaging & Non-imaging,RandomForest,no,0.6684239657935634,1,median,3.203219935667301,generalization,16.39719758710239,0.6683818055543821,Age,Life style (LS)
4,Imaging & Non-imaging,RandomForest,no,0.6331716975212551,2,median,3.236451115625663,validation,16.778479464741007,0.6331032846399228,Age,Life style (LS)
5,Imaging & Non-imaging,RandomForest,no,0.6724406665063705,2,median,3.1908932940227093,generalization,16.197200450959517,0.6724265631313817,Age,Life style (LS)
6,Imaging & Non-imaging,RandomForest,no,0.685595014169829,3,median,3.3603313272995594,validation,16.29287004074045,0.6855942490782788,Age,Life style (LS)
7,Imaging & Non-imaging,RandomForest,no,0.6686129032859263,3,median,3.215405019707777,generalization,16.385901303171757,0.6686102624758238,Age,Life style (LS)
8,Imaging & Non-imaging,RandomForest,no,0.6824218358076426,4,median,3.2042990289606053,validation,15.408851794109776,0.6818155720410338,Age,Life style (LS)
9,Imaging & Non-imaging,RandomForest,no,0.6734934142639122,4,median,3.189829070143581,generalization,16.146188468961743,0.6734582334076793,Age,Life style (LS)
10,Imaging & Non-imaging,RandomForest,no,0.6930214286786007,5,median,3.1590071232314103,validation,15.201883164658467,0.6923837566642086,Age,Life style (LS)
11,Imaging & Non-imaging,RandomForest,no,0.6710738493609786,5,median,3.2021020830267855,generalization,16.264136897412712,0.6710728352521207,Age,Life style (LS)
12,Imaging & Non-imaging,RandomForest,no,0.6598641122617768,6,median,3.3838435827421747,validation,17.126470632235513,0.6579581216276074,Age,Life style (LS)
13,Imaging & Non-imaging,RandomForest,no,0.6689698809726017,6,median,3.2088508883464715,generalization,16.368660657597744,0.6689589386277064,Age,Life style (LS)
14,Imaging & Non-imaging,RandomForest,no,0.6731007188241299,7,median,3.2568079800498757,validation,15.938632658354116,0.6715792718245954,Age,Life style (LS)
15,Imaging & Non-imaging,RandomForest,no,0.6724622280773714,7,median,3.1906736526946116,generalization,16.196868171656686,0.6724332831737471,Age,Life style (LS)
16,Imaging & Non-imaging,RandomForest,no,0.6797499166261665,8,median,3.2349226932668333,validation,16.154019870324188,0.6797489472837286,Age,Life style (LS)
17,Imaging & Non-imaging,RandomForest,no,0.6728671407569676,8,median,3.1856017964071857,generalization,16.175458518962074,0.6728662736486486,Age,Life style (LS)
18,Imaging & Non-imaging,RandomForest,no,0.6115969886736037,9,median,3.407753921118041,validation,18.14793066767505,0.6112288859663485,Age,Life style (LS)
19,Imaging & Non-imaging,RandomForest,no,0.6700499258512866,9,median,3.1994213884430693,generalization,16.316011517577937,0.6700237189146876,Age,Life style (LS)
20,Imaging & Non-imaging,RandomForest,no,0.6807586486527655,10,median,3.1973566084788034,validation,15.594034154613466,0.6806323367725623,Age,Life style (LS)
21,Imaging & Non-imaging,RandomForest,no,0.6716365348533753,10,median,3.1915479041916166,generalization,16.236927956087825,0.6716231109896059,Age,Life style (LS)
22,Imaging & Non-imaging,RandomForest,no,0.6543065374770153,11,median,3.320524453299837,validation,17.16518741399889,0.6524463541273047,Age,Life style (LS)
23,Imaging & Non-imaging,RandomForest,no,0.6705857378934843,11,median,3.197902953520713,generalization,16.288527481619028,0.6705795581873657,Age,Life style (LS)
24,Imaging & Non-imaging,RandomForest,no,0.6924108777233153,12,median,3.0003276552028417,validation,14.919631718457449,0.6923642703849702,Age,Life style (LS)
25,Imaging & Non-imaging,RandomForest,no,0.6738058945615589,12,median,3.1780537741388435,generalization,16.129153738409208,0.6738027451182136,Age,Life style (LS)
26,Imaging & Non-imaging,RandomForest,no,0.6522734332402387,13,median,3.3006662383039536,validation,17.246945977934196,0.6522297987586834,Age,Life style (LS)
27,Imaging & Non-imaging,RandomForest,no,0.6691743494447108,13,median,3.2094107569891035,generalization,16.358652774166107,0.6691613388376323,Age,Life style (LS)
28,Imaging & Non-imaging,RandomForest,no,0.7060860909056073,14,median,3.140851667333337,validation,15.072131256690213,0.7019149630794038,Age,Life style (LS)
29,Imaging & Non-imaging,RandomForest,no,0.6727309782140972,14,median,3.192109955069279,generalization,16.18280541788555,0.6727176893955873,Age,Life style (LS)
30,Imaging & Non-imaging,RandomForest,no,0.6849335653597823,15,median,3.057665835411471,validation,15.107324608478802,0.6848917435646791,Age,Life style (LS)
31,Imaging & Non-imaging,RandomForest,no,0.6749007061672876,15,median,3.1818383233532934,generalization,16.075987864271458,0.6748779758760324,Age,Life style (LS)
32,Imaging & Non-imaging,RandomForest,no,0.6645809025880322,16,median,3.3333306242122376,validation,17.110833892936302,0.663197101825294,Age,Life style (LS)
33,Imaging & Non-imaging,RandomForest,no,0.6751093414392135,16,median,3.1786908806909806,generalization,16.06455205789468,0.6751092545102351,Age,Life style (LS)
34,Imaging & Non-imaging,RandomForest,no,0.6403449346971781,17,median,3.332769432722305,validation,17.603687601253107,0.640309993668319,Age,Life style (LS)
35,Imaging & Non-imaging,RandomForest,no,0.6708355589333294,17,median,3.1965040843367865,generalization,16.275918107431778,0.6708345711478945,Age,Life style (LS)
36,Imaging & Non-imaging,RandomForest,no,0.6551750743438023,18,median,3.1670435436586373,validation,15.880043648529256,0.6537302361542842,Age,Life style (LS)
37,Imaging & Non-imaging,RandomForest,no,0.672083667746015,18,median,3.1927810588248886,generalization,16.214213494966327,0.6720824900112286,Age,Life style (LS)
38,Imaging & Non-imaging,RandomForest,no,0.6761653120177707,19,median,3.2254796243261508,validation,15.82963151067976,0.6759921496706083,Age,Life style (LS)
39,Imaging & Non-imaging,RandomForest,no,0.6708059922754503,19,median,3.196984691715185,generalization,16.27828509879331,0.6707867009312061,Age,Life style (LS)
40,Imaging & Non-imaging,RandomForest,no,0.650641429218245,20,median,3.2536505885714893,validation,16.84584106842541,0.6499622429315572,Age,Life style (LS)
41,Imaging & Non-imaging,RandomForest,no,0.6710633424613531,20,median,3.1962982718844017,generalization,16.265128340711676,0.6710527842260259,Age,Life style (LS)
42,Imaging & Non-imaging,RandomForest,no,0.6310738286611255,21,median,3.1921886454875312,validation,16.32646493491159,0.6310588900592345,Age,Life style (LS)
43,Imaging & Non-imaging,RandomForest,no,0.6731145815374786,21,median,3.1911739792313165,generalization,16.163425606824894,0.6731096281960129,Age,Life style (LS)
44,Imaging & Non-imaging,RandomForest,no,0.6663656441538012,22,median,3.2579201915987634,validation,16.15592864521295,0.6662188461423271,Age,Life style (LS)
45,Imaging & Non-imaging,RandomForest,no,0.6716767631330033,22,median,3.1954169341950918,generalization,16.23485802080526,0.6716649735211377,Age,Life style (LS)
46,Imaging & Non-imaging,RandomForest,no,0.6603705025426416,23,median,3.2715800081323603,validation,16.86309528441117,0.6601865507352925,Age,Life style (LS)
47,Imaging & Non-imaging,RandomForest,no,0.6715579212182836,23,median,3.2006074015496613,generalization,16.24167200330658,0.6715271670110882,Age,Life style (LS)
48,Imaging & Non-imaging,RandomForest,no,0.6753774262850284,24,median,3.291092269326683,validation,16.40081204987531,0.6745949964967904,Age,Life style (LS)
49,Imaging & Non-imaging,RandomForest,no,0.6717518334605724,24,median,3.201999001996008,generalization,16.230569624750498,0.6717517023752113,Age,Life style (LS)
50,Imaging & Non-imaging,RandomForest,no,0.6891257125911838,25,median,3.289052263894115,validation,16.775410594469918,0.688400469841776,Age,Life style (LS)
51,Imaging & Non-imaging,RandomForest,no,0.6682672751175118,25,median,3.2123228581466567,generalization,16.402915535525345,0.6682661653224533,Age,Life style (LS)
52,Imaging & Non-imaging,RandomForest,no,0.6928715280870776,26,median,3.236139810682754,validation,15.206300158089464,0.6891269332755102,Age,Life style (LS)
53,Imaging & Non-imaging,RandomForest,no,0.6738520273919599,26,median,3.1871422237079035,generalization,16.131766425689896,0.6737499059282197,Age,Life style (LS)
54,Imaging & Non-imaging,RandomForest,no,0.6138747206124122,27,median,3.4899143320571278,validation,19.83177994222749,0.6112579432621283,Age,Life style (LS)
55,Imaging & Non-imaging,RandomForest,no,0.6708448185057074,27,median,3.1936448178320815,generalization,16.278530689808537,0.6707817340794859,Age,Life style (LS)
56,Imaging & Non-imaging,RandomForest,no,0.6844945150944106,28,median,3.2966947918432443,validation,16.158294853457896,0.6843897036303459,Age,Life style (LS)
57,Imaging & Non-imaging,RandomForest,no,0.672883329976008,28,median,3.197619283412388,generalization,16.175223755090833,0.6728710215313698,Age,Life style (LS)
58,Imaging & Non-imaging,RandomForest,no,0.6353848730833567,29,median,3.4832056485284912,validation,19.104876838833896,0.6330648241062553,Age,Life style (LS)
59,Imaging & Non-imaging,RandomForest,no,0.6685559662956015,29,median,3.206535410663467,generalization,16.392767396843436,0.6684714020654274,Age,Life style (LS)
60,Imaging & Non-imaging,RandomForest,no,0.6617843788842785,30,median,3.2705212508565444,validation,16.578822221181127,0.6617833609920902,Age,Life style (LS)
61,Imaging & Non-imaging,RandomForest,no,0.6695100845199886,30,median,3.212836419816228,generalization,16.34174752009053,0.6695032320058645,Age,Life style (LS)
62,Imaging & Non-imaging,RandomForest,no,0.6539485343813198,31,median,3.1736830338576185,validation,15.78430382432851,0.6535156182546764,Age,Life style (LS)
63,Imaging & Non-imaging,RandomForest,no,0.6716953497245204,31,median,3.192680463714808,generalization,16.233404272074072,0.6716943742481127,Age,Life style (LS)
64,Imaging & Non-imaging,RandomForest,no,0.6606228523952244,32,median,3.3930531072989303,validation,18.180225372518848,0.6605717523969328,Age,Life style (LS)
65,Imaging & Non-imaging,RandomForest,no,0.671518706598558,32,median,3.1939670986175424,generalization,16.243062201545484,0.671499051534193,Age,Life style (LS)
66,Imaging & Non-imaging,RandomForest,no,0.660801753203555,33,median,3.2767182044887777,validation,16.373088678304235,0.6608011763490285,Age,Life style (LS)
67,Imaging & Non-imaging,RandomForest,no,0.6698951391252346,33,median,3.200591816367266,generalization,16.322990439121757,0.6698825766646632,Age,Life style (LS)
68,Imaging & Non-imaging,RandomForest,no,0.6494805570605665,34,median,3.2786871475778683,validation,16.68876348018818,0.6494768928045378,Age,Life style (LS)
69,Imaging & Non-imaging,RandomForest,no,0.6744064472414888,34,median,3.1775779416309247,generalization,16.099674724732434,0.6743989309748273,Age,Life style (LS)
70,Imaging & Non-imaging,RandomForest,no,0.6822788491725258,35,median,3.2651662300033863,validation,16.321806278291195,0.6821613562798785,Age,Life style (LS)
71,Imaging & Non-imaging,RandomForest,no,0.6692251511938838,35,median,3.212064184221465,generalization,16.35701499537873,0.6691944614027221,Age,Life style (LS)
72,Imaging & Non-imaging,RandomForest,no,0.6769774541216134,36,median,3.2310922693266835,validation,16.554056339152122,0.6768101240096052,Age,Life style (LS)
73,Imaging & Non-imaging,RandomForest,no,0.670623830639053,36,median,3.2022814371257478,generalization,16.28791674251497,0.6705919098223259,Age,Life style (LS)
74,Imaging & Non-imaging,RandomForest,no,0.6841691722718084,37,median,3.3040074419271157,validation,16.871280723948438,0.6841556888148146,Age,Life style (LS)
75,Imaging & Non-imaging,RandomForest,no,0.6745103333925233,37,median,3.1804078447256674,generalization,16.094321019198553,0.6745072047303461,Age,Life style (LS)
76,Imaging & Non-imaging,RandomForest,no,0.6872329998312002,38,median,3.1470623441396515,validation,15.44665149127182,0.6871109722357011,Age,Life style (LS)
77,Imaging & Non-imaging,RandomForest,no,0.6733759074067668,38,median,3.191964071856287,generalization,16.151805173652694,0.6733446407368311,Age,Life style (LS)
78,Imaging & Non-imaging,RandomForest,no,0.6707825045655789,39,median,3.106623524054686,validation,15.549758705216687,0.6687056752974927,Age,Life style (LS)
79,Imaging & Non-imaging,RandomForest,no,0.6685514380777768,39,median,3.2089012400156838,generalization,16.38907612967693,0.6685460545385996,Age,Life style (LS)
80,Imaging & Non-imaging,RandomForest,no,0.6866259430324079,40,median,3.3386733167082294,validation,16.612514952618454,0.6862256648173624,Age,Life style (LS)
81,Imaging & Non-imaging,RandomForest,no,0.6722801890701486,40,median,3.198792415169661,generalization,16.204545876247508,0.6722780086812388,Age,Life style (LS)
82,Imaging & Non-imaging,RandomForest,no,0.7010914131691215,41,median,3.1917605985037407,validation,15.454696059850376,0.7005458357549488,Age,Life style (LS)
83,Imaging & Non-imaging,RandomForest,no,0.6744451267519026,41,median,3.185599800399201,generalization,16.09769392015968,0.674438990919978,Age,Life style (LS)
84,Imaging & Non-imaging,RandomForest,no,0.6514141927989889,42,median,3.3440299251870327,validation,17.706137256857854,0.6513186451028226,Age,Life style (LS)
85,Imaging & Non-imaging,RandomForest,no,0.6721757139253596,42,median,3.19095508982036,generalization,16.210088163672655,0.6721659210309399,Age,Life style (LS)
86,Imaging & Non-imaging,RandomForest,no,0.6363581347161615,43,median,3.4614342754207605,validation,18.4787304266992,0.636299391186864,Age,Life style (LS)
87,Imaging & Non-imaging,RandomForest,no,0.6719103773565586,43,median,3.1952116347397674,generalization,16.223683346897488,0.6718909709920549,Age,Life style (LS)
88,Imaging & Non-imaging,RandomForest,no,0.6452262289255288,44,median,3.2215431499919234,validation,15.891254428628251,0.6433653146566669,Age,Life style (LS)
89,Imaging & Non-imaging,RandomForest,no,0.668437517813077,44,median,3.2124123357393533,generalization,16.394629456762914,0.6684337436213447,Age,Life style (LS)
90,Imaging & Non-imaging,RandomForest,no,0.6904618699502222,45,median,3.1684389027431425,validation,15.232456618453865,0.6881698994635196,Age,Life style (LS)
91,Imaging & Non-imaging,RandomForest,no,0.6726972089563616,45,median,3.1852514970059884,generalization,16.18409097005988,0.6726916902888099,Age,Life style (LS)
92,Imaging & Non-imaging,RandomForest,no,0.689053872790877,46,median,3.093648748339694,validation,14.645369705903216,0.689001173998574,Age,Life style (LS)
93,Imaging & Non-imaging,RandomForest,no,0.6735451877499488,46,median,3.1888918503516392,generalization,16.143397681438607,0.6735146745107757,Age,Life style (LS)
94,Imaging & Non-imaging,RandomForest,no,0.6690518379333559,47,median,3.3148185574633446,validation,16.912400782008195,0.6675482690521951,Age,Life style (LS)
95,Imaging & Non-imaging,RandomForest,no,0.6679606870927468,47,median,3.2153049524988635,generalization,16.419208959246486,0.6679366458587133,Age,Life style (LS)
96,Imaging & Non-imaging,RandomForest,no,0.7168628337992329,48,median,3.119988902868408,validation,15.060112269330402,0.7166896106132784,Age,Life style (LS)
97,Imaging & Non-imaging,RandomForest,no,0.6751026516866525,48,median,3.185410139703297,generalization,16.06491650370285,0.6751018839299736,Age,Life style (LS)
98,Imaging & Non-imaging,RandomForest,no,0.6706477028972248,49,median,3.266683291770573,validation,16.280024698254365,0.6705463980192343,Age,Life style (LS)
99,Imaging & Non-imaging,RandomForest,no,0.674269306016545,49,median,3.1771566866267467,generalization,16.106458518962075,0.6742617349947231,Age,Life style (LS)
100,Imaging & Non-imaging,RandomForest,no,0.6424753870881288,50,median,3.3874014962593515,validation,17.900859251870326,0.6418541683544514,Age,Life style (LS)
101,Imaging & Non-imaging,RandomForest,no,0.6730534568164154,50,median,3.184160678642714,generalization,16.16620315768463,0.6730534547922229,Age,Life style (LS)
102,Imaging & Non-imaging,RandomForest,no,0.6396315727475053,51,median,3.2965566767591237,validation,17.342501692310414,0.6393715325436639,Age,Life style (LS)
