,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
0,RandomForest,no,0.6154252999954433,0,median,3.3462915612224093,validation,17.60609273706192,0.6154083870724922,Age,"EL, EDU, LS, MH"
1,RandomForest,no,0.6132563126801451,0,median,3.481819398499113,generalization,19.12402950346963,0.6132341456046317,Age,"EL, EDU, LS, MH"
2,RandomForest,no,0.5861207951534377,1,median,3.6060910454160666,validation,19.740302056627726,0.5852422761291887,Age,"EL, EDU, LS, MH"
3,RandomForest,no,0.6136422443157471,1,median,3.4809414292752607,generalization,19.104143265135733,0.6136363264294691,Age,"EL, EDU, LS, MH"
4,RandomForest,no,0.5977589044170408,2,median,3.410583986221169,validation,18.395928420586127,0.5977343639692962,Age,"EL, EDU, LS, MH"
5,RandomForest,no,0.6169286676455252,2,median,3.4686944872978085,generalization,18.942240782919797,0.6169106547739018,Age,"EL, EDU, LS, MH"
6,RandomForest,no,0.6278394467574101,3,median,3.563930071242662,validation,19.29714056214345,0.6276204282049875,Age,"EL, EDU, LS, MH"
7,RandomForest,no,0.6112437174883769,3,median,3.4975990982632634,generalization,19.224250552294556,0.6112072673481357,Age,"EL, EDU, LS, MH"
8,RandomForest,no,0.6091216388978069,4,median,3.5472724886022364,validation,19.096427415125273,0.6056691365242249,Age,"EL, EDU, LS, MH"
9,RandomForest,no,0.6113379108227368,4,median,3.4963036297155345,generalization,19.217845758942765,0.6113367983851214,Age,"EL, EDU, LS, MH"
10,RandomForest,no,0.6353525050745497,5,median,3.3621645885286786,validation,18.106940608478805,0.6335987464215145,Age,"EL, EDU, LS, MH"
11,RandomForest,no,0.6126689859102761,5,median,3.4888173652694614,generalization,19.15403575648703,0.6126272968187432,Age,"EL, EDU, LS, MH"
12,RandomForest,no,0.6446074888876234,6,median,3.4691491670666967,validation,18.012113700486093,0.6402704716069576,Age,"EL, EDU, LS, MH"
13,RandomForest,no,0.6167439602850309,6,median,3.4717266693630875,generalization,18.955150937365968,0.6166495588101122,Age,"EL, EDU, LS, MH"
14,RandomForest,no,0.5854439992865066,7,median,3.623730673316708,validation,20.289953875311717,0.5819188779106125,Age,"EL, EDU, LS, MH"
15,RandomForest,no,0.6142544278655837,7,median,3.4756766467065865,generalization,19.073581876247502,0.6142544023262209,Age,"EL, EDU, LS, MH"
16,RandomForest,no,0.6307908980088728,8,median,3.460081614070148,validation,18.62424793171905,0.6307770416242426,Age,"EL, EDU, LS, MH"
