Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Imaging,0,low vs high,validation,0.9003014642549525,Age
RandomForest,no,Imaging,0,low vs high,generalization,0.8752546355480953,Age
RandomForest,no,Imaging,1,low vs high,validation,0.8605769230769231,Age
RandomForest,no,Imaging,1,low vs high,generalization,0.8798231377213557,Age
RandomForest,no,Imaging,2,low vs high,validation,0.8697077690662866,Age
RandomForest,no,Imaging,2,low vs high,generalization,0.8763169486532455,Age
RandomForest,no,Imaging,3,low vs high,validation,0.8945568538045028,Age
RandomForest,no,Imaging,3,low vs high,generalization,0.8800051691363652,Age
RandomForest,no,Imaging,4,low vs high,validation,0.8236808236808236,Age
RandomForest,no,Imaging,4,low vs high,generalization,0.8749055104105293,Age
RandomForest,no,Imaging,5,low vs high,validation,0.8860389610389611,Age
RandomForest,no,Imaging,5,low vs high,generalization,0.8745563852729639,Age
RandomForest,no,Imaging,6,low vs high,validation,0.8713093709884469,Age
RandomForest,no,Imaging,6,low vs high,generalization,0.8664361861778406,Age
RandomForest,no,Imaging,7,low vs high,validation,0.8561199772014819,Age
RandomForest,no,Imaging,7,low vs high,generalization,0.8830406471981057,Age
RandomForest,no,Imaging,8,low vs high,validation,0.8482104509663564,Age
RandomForest,no,Imaging,8,low vs high,generalization,0.8768025973520681,Age
RandomForest,no,Imaging,9,low vs high,validation,0.8691069648198262,Age
RandomForest,no,Imaging,9,low vs high,generalization,0.8747384166879731,Age
RandomForest,no,Imaging,10,low vs high,validation,0.8170007158196134,Age
RandomForest,no,Imaging,10,low vs high,generalization,0.8787302544549063,Age
RandomForest,no,Imaging,11,low vs high,validation,0.8101673101673103,Age
RandomForest,no,Imaging,11,low vs high,generalization,0.8703370082372689,Age
RandomForest,no,Imaging,12,low vs high,validation,0.8817476142999572,Age
RandomForest,no,Imaging,12,low vs high,generalization,0.8793069188612336,Age
RandomForest,no,Imaging,13,low vs high,validation,0.8653599429793302,Age
RandomForest,no,Imaging,13,low vs high,generalization,0.8747234789955199,Age
RandomForest,no,Imaging,14,low vs high,validation,0.8900790797987059,Age
RandomForest,no,Imaging,14,low vs high,generalization,0.8764534722145025,Age
RandomForest,no,Imaging,15,low vs high,validation,0.8688260558339299,Age
RandomForest,no,Imaging,15,low vs high,generalization,0.8749965261180342,Age
RandomForest,no,Imaging,16,low vs high,validation,0.8362179487179486,Age
RandomForest,no,Imaging,16,low vs high,generalization,0.8762259329457407,Age
RandomForest,no,Imaging,17,low vs high,validation,0.8452911574406902,Age
RandomForest,no,Imaging,17,low vs high,generalization,0.8714753993574709,Age
RandomForest,no,Imaging,18,low vs high,validation,0.8397308075772679,Age
RandomForest,no,Imaging,18,low vs high,generalization,0.8719610480562936,Age
RandomForest,no,Imaging,19,low vs high,validation,0.8947968638631505,Age
RandomForest,no,Imaging,19,low vs high,generalization,0.8766205659370588,Age
RandomForest,no,Imaging,20,low vs high,validation,0.8407697790449038,Age
RandomForest,no,Imaging,20,low vs high,generalization,0.8791248874462243,Age
RandomForest,no,Imaging,21,low vs high,validation,0.8436965811965813,Age
RandomForest,no,Imaging,21,low vs high,generalization,0.8696387579621374,Age
RandomForest,no,Imaging,22,low vs high,validation,0.8642857142857142,Age
RandomForest,no,Imaging,22,low vs high,generalization,0.880490817835188,Age
RandomForest,no,Imaging,23,low vs high,validation,0.8479700854700857,Age
RandomForest,no,Imaging,23,low vs high,generalization,0.8768481052058206,Age
RandomForest,no,Imaging,24,low vs high,validation,0.8652777777777778,Age
RandomForest,no,Imaging,24,low vs high,generalization,0.8812345759640717,Age
RandomForest,no,Imaging,25,low vs high,validation,0.8369902482269503,Age
RandomForest,no,Imaging,25,low vs high,generalization,0.8701244066609604,Age
RandomForest,no,Imaging,26,low vs high,validation,0.8817307692307692,Age
RandomForest,no,Imaging,26,low vs high,generalization,0.8765899957757595,Age
RandomForest,no,Imaging,27,low vs high,validation,0.8606945253348863,Age
RandomForest,no,Imaging,27,low vs high,generalization,0.8779864963260223,Age
RandomForest,no,Imaging,28,low vs high,validation,0.8551896921975662,Age
RandomForest,no,Imaging,28,low vs high,generalization,0.8749510182642818,Age
RandomForest,no,Imaging,29,low vs high,validation,0.8776883634809856,Age
RandomForest,no,Imaging,29,low vs high,generalization,0.8742072601353981,Age
RandomForest,no,Imaging,30,low vs high,validation,0.8832277113639638,Age
RandomForest,no,Imaging,30,low vs high,generalization,0.8716119229187278,Age
RandomForest,no,Imaging,31,low vs high,validation,0.837944380733945,Age
RandomForest,no,Imaging,31,low vs high,generalization,0.8744198617117067,Age
RandomForest,no,Imaging,32,low vs high,validation,0.8491023083499573,Age
RandomForest,no,Imaging,32,low vs high,generalization,0.8776373711884567,Age
RandomForest,no,Imaging,33,low vs high,validation,0.8397719173200285,Age
RandomForest,no,Imaging,33,low vs high,generalization,0.8779409884722701,Age
RandomForest,no,Imaging,34,low vs high,validation,0.8490357142857142,Age
RandomForest,no,Imaging,34,low vs high,generalization,0.8744198617117067,Age
RandomForest,no,Imaging,35,low vs high,validation,0.8678085199824329,Age
RandomForest,no,Imaging,35,low vs high,generalization,0.8765899957757595,Age
RandomForest,no,Imaging,36,low vs high,validation,0.8759991435912075,Age
RandomForest,no,Imaging,36,low vs high,generalization,0.8745563852729639,Age
RandomForest,no,Imaging,37,low vs high,validation,0.8652777777777778,Age
RandomForest,no,Imaging,37,low vs high,generalization,0.8760894093844837,Age
RandomForest,no,Imaging,38,low vs high,validation,0.8400727428326915,Age
RandomForest,no,Imaging,38,low vs high,generalization,0.8773337539046433,Age
RandomForest,no,Imaging,39,low vs high,validation,0.8604303220290681,Age
RandomForest,no,Imaging,39,low vs high,generalization,0.8802632785664262,Age
RandomForest,no,Imaging,40,low vs high,validation,0.8688489516474112,Age
RandomForest,no,Imaging,40,low vs high,generalization,0.8723556810476116,Age
RandomForest,no,Imaging,41,low vs high,validation,0.866919044845661,Age
RandomForest,no,Imaging,41,low vs high,generalization,0.8765750580833066,Age
RandomForest,no,Imaging,42,low vs high,validation,0.8337639965546942,Age
RandomForest,no,Imaging,42,low vs high,generalization,0.8647666385050634,Age
RandomForest,no,Imaging,43,low vs high,validation,0.8561653599429794,Age
RandomForest,no,Imaging,43,low vs high,generalization,0.8771062146358816,Age
RandomForest,no,Imaging,44,low vs high,validation,0.8696581196581198,Age
RandomForest,no,Imaging,44,low vs high,generalization,0.8772278005046856,Age
RandomForest,no,Imaging,45,low vs high,validation,0.8914007092198581,Age
RandomForest,no,Imaging,45,low vs high,generalization,0.8831921084518157,Age
RandomForest,no,Imaging,46,low vs high,validation,0.8250962772785622,Age
RandomForest,no,Imaging,46,low vs high,generalization,0.8711568443812043,Age
RandomForest,no,Imaging,47,low vs high,validation,0.8536806259962325,Age
RandomForest,no,Imaging,47,low vs high,generalization,0.8746474009804683,Age
RandomForest,no,Imaging,48,low vs high,validation,0.8522435897435898,Age
RandomForest,no,Imaging,48,low vs high,generalization,0.8772427381971387,Age
RandomForest,no,Imaging,49,low vs high,validation,0.8536864710093056,Age
RandomForest,no,Imaging,49,low vs high,generalization,0.8735850878753182,Age
RandomForest,no,Imaging,50,low vs high,validation,0.8318116462976276,Age
RandomForest,no,Imaging,50,low vs high,generalization,0.8673619757217337,Age
RandomForest,no,Imaging,51,low vs high,validation,0.8539727988546887,Age
RandomForest,no,Imaging,51,low vs high,generalization,0.8667853113154063,Age
RandomForest,no,Imaging,52,low vs high,validation,0.8745186136071887,Age
RandomForest,no,Imaging,52,low vs high,generalization,0.8752546355480953,Age
RandomForest,no,Imaging,53,low vs high,validation,0.8377857142857144,Age
RandomForest,no,Imaging,53,low vs high,generalization,0.8794740125837901,Age
RandomForest,no,Imaging,54,low vs high,validation,0.8810357142857144,Age
RandomForest,no,Imaging,54,low vs high,generalization,0.8762714407994929,Age
RandomForest,no,Imaging,55,low vs high,validation,0.8781539558089808,Age
RandomForest,no,Imaging,55,low vs high,generalization,0.8750114638104872,Age
RandomForest,no,Imaging,56,low vs high,validation,0.8825163864348817,Age
RandomForest,no,Imaging,56,low vs high,generalization,0.8765295502295541,Age
RandomForest,no,Imaging,57,low vs high,validation,0.8738247863247864,Age
RandomForest,no,Imaging,57,low vs high,generalization,0.8771822926509333,Age
RandomForest,no,Imaging,58,low vs high,validation,0.8361724875267285,Age
RandomForest,no,Imaging,58,low vs high,generalization,0.8784721450248452,Age
RandomForest,no,Imaging,59,low vs high,validation,0.8705561926605505,Age
RandomForest,no,Imaging,59,low vs high,generalization,0.8705496098135775,Age
RandomForest,no,Imaging,60,low vs high,validation,0.8671197223828803,Age
RandomForest,no,Imaging,60,low vs high,generalization,0.8743437836966551,Age
RandomForest,no,Imaging,61,low vs high,validation,0.8728082679971491,Age
RandomForest,no,Imaging,61,low vs high,generalization,0.8633552002623476,Age
RandomForest,no,Imaging,62,low vs high,validation,0.8591142490372272,Age
RandomForest,no,Imaging,62,low vs high,generalization,0.8722646653401069,Age
RandomForest,no,Imaging,63,low vs high,validation,0.878027928184668,Age
RandomForest,no,Imaging,63,low vs high,generalization,0.8765750580833066,Age
RandomForest,no,Imaging,64,low vs high,validation,0.8732905982905983,Age
RandomForest,no,Imaging,64,low vs high,generalization,0.8738431973053792,Age
RandomForest,no,Imaging,65,low vs high,validation,0.8694908001711597,Age
RandomForest,no,Imaging,65,low vs high,generalization,0.8750875418255388,Age
RandomForest,no,Imaging,66,low vs high,validation,0.8182822523164647,Age
RandomForest,no,Imaging,66,low vs high,generalization,0.8797925675600564,Age
RandomForest,no,Imaging,67,low vs high,validation,0.8646115466856735,Age
RandomForest,no,Imaging,67,low vs high,generalization,0.8724011889013639,Age
RandomForest,no,Imaging,68,low vs high,validation,0.8727272727272728,Age
RandomForest,no,Imaging,68,low vs high,generalization,0.8649941777738254,Age
RandomForest,no,Imaging,69,low vs high,validation,0.8606084354516956,Age
RandomForest,no,Imaging,69,low vs high,generalization,0.8719610480562936,Age
RandomForest,no,Imaging,70,low vs high,validation,0.8519469405220368,Age
RandomForest,no,Imaging,70,low vs high,generalization,0.8725377124626209,Age
RandomForest,no,Imaging,71,low vs high,validation,0.8569422439867493,Age
RandomForest,no,Imaging,71,low vs high,generalization,0.8784266371710928,Age
RandomForest,no,Imaging,72,low vs high,validation,0.8506442376521116,Age
RandomForest,no,Imaging,72,low vs high,generalization,0.8652522872038863,Age
RandomForest,no,Imaging,73,low vs high,validation,0.8775459336276883,Age
RandomForest,no,Imaging,73,low vs high,generalization,0.8769696910746246,Age
RandomForest,no,Imaging,74,low vs high,validation,0.8344030808729139,Age
RandomForest,no,Imaging,74,low vs high,generalization,0.8614581133208089,Age
RandomForest,no,Imaging,75,low vs high,validation,0.8464209019327129,Age
RandomForest,no,Imaging,75,low vs high,generalization,0.875740284246918,Age
RandomForest,no,Imaging,76,low vs high,validation,0.8525576003477757,Age
RandomForest,no,Imaging,76,low vs high,generalization,0.8799290911213136,Age
RandomForest,no,Imaging,77,low vs high,validation,0.8584831056793674,Age
RandomForest,no,Imaging,77,low vs high,generalization,0.8746018931267162,Age
RandomForest,no,Imaging,78,low vs high,validation,0.8709377236936292,Age
RandomForest,no,Imaging,78,low vs high,generalization,0.8728413297464345,Age
RandomForest,no,Imaging,79,low vs high,validation,0.8722926759760616,Age
RandomForest,no,Imaging,79,low vs high,generalization,0.8742378302966973,Age
RandomForest,no,Imaging,80,low vs high,validation,0.8720072992700729,Age
RandomForest,no,Imaging,80,low vs high,generalization,0.8717484464799848,Age
RandomForest,no,Imaging,81,low vs high,validation,0.8241071428571429,Age
RandomForest,no,Imaging,81,low vs high,generalization,0.8641444662449838,Age
RandomForest,no,Imaging,82,low vs high,validation,0.8396952001139439,Age
RandomForest,no,Imaging,82,low vs high,generalization,0.8710501962048535,Age
RandomForest,no,Imaging,83,low vs high,validation,0.8729139922978177,Age
RandomForest,no,Imaging,83,low vs high,generalization,0.8782901136098359,Age
RandomForest,no,Imaging,84,low vs high,validation,0.8562904385334292,Age
RandomForest,no,Imaging,84,low vs high,generalization,0.8679692102893605,Age
RandomForest,no,Imaging,85,low vs high,validation,0.8530648610121169,Age
RandomForest,no,Imaging,85,low vs high,generalization,0.868940507687006,Age
RandomForest,no,Imaging,86,low vs high,validation,0.8738956967797094,Age
RandomForest,no,Imaging,86,low vs high,generalization,0.8819477639316563,Age
RandomForest,no,Imaging,87,low vs high,validation,0.8851731601731601,Age
RandomForest,no,Imaging,87,low vs high,generalization,0.8702310548373111,Age
RandomForest,no,Imaging,88,low vs high,validation,0.8647406668566542,Age
RandomForest,no,Imaging,88,low vs high,generalization,0.8767115816445635,Age
RandomForest,no,Imaging,89,low vs high,validation,0.8506442376521116,Age
RandomForest,no,Imaging,89,low vs high,generalization,0.8808854508265059,Age
RandomForest,no,Imaging,90,low vs high,validation,0.8576658053402239,Age
RandomForest,no,Imaging,90,low vs high,generalization,0.8781230198872795,Age
RandomForest,no,Imaging,91,low vs high,validation,0.8737175833570818,Age
RandomForest,no,Imaging,91,low vs high,generalization,0.8659050296252653,Age
RandomForest,no,Imaging,92,low vs high,validation,0.8513299784327821,Age
RandomForest,no,Imaging,92,low vs high,generalization,0.8700333909534556,Age
RandomForest,no,Imaging,93,low vs high,validation,0.8733442529554194,Age
RandomForest,no,Imaging,93,low vs high,generalization,0.8754366669631046,Age
