,Estimator,Permuted,Type,fold,group,model_testing,roc,target
0,RandomForest,no,Non-imaging,0,low vs high,validation,0.9049310938845824,Age
1,RandomForest,no,Non-imaging,0,low vs high,generalization,0.9282549579243414,Age
2,RandomForest,no,Non-imaging,1,low vs high,validation,0.9368589743589744,Age
3,RandomForest,no,Non-imaging,1,low vs high,generalization,0.9318671003924096,Age
4,RandomForest,no,Non-imaging,2,low vs high,validation,0.966464718460442,Age
5,RandomForest,no,Non-imaging,2,low vs high,generalization,0.9302430605733852,Age
6,RandomForest,no,Non-imaging,3,low vs high,validation,0.9026432031917926,Age
7,RandomForest,no,Non-imaging,3,low vs high,generalization,0.930106537012128,Age
8,RandomForest,no,Non-imaging,4,low vs high,validation,0.9226726726726728,Age
9,RandomForest,no,Non-imaging,4,low vs high,generalization,0.9293172710294918,Age
10,RandomForest,no,Non-imaging,5,low vs high,validation,0.9429653679653679,Age
11,RandomForest,no,Non-imaging,5,low vs high,generalization,0.9281333720555376,Age
12,RandomForest,no,Non-imaging,6,low vs high,validation,0.9358151476251604,Age
13,RandomForest,no,Non-imaging,6,low vs high,generalization,0.9294843647520482,Age
14,RandomForest,no,Non-imaging,7,low vs high,validation,0.945212311199772,Age
15,RandomForest,no,Non-imaging,7,low vs high,generalization,0.9302430605733852,Age
16,RandomForest,no,Non-imaging,8,low vs high,validation,0.9275948460987832,Age
17,RandomForest,no,Non-imaging,8,low vs high,generalization,0.9308652328334648,Age
18,RandomForest,no,Non-imaging,9,low vs high,validation,0.9368323600626692,Age
19,RandomForest,no,Non-imaging,9,low vs high,generalization,0.931912608246162,Age
20,RandomForest,no,Non-imaging,10,low vs high,validation,0.915783822476736,Age
21,RandomForest,no,Non-imaging,10,low vs high,generalization,0.9267368715052746,Age
22,RandomForest,no,Non-imaging,11,low vs high,validation,0.956027456027456,Age
23,RandomForest,no,Non-imaging,11,low vs high,generalization,0.9299700134508709,Age
24,RandomForest,no,Non-imaging,12,low vs high,validation,0.9283933912548068,Age
25,RandomForest,no,Non-imaging,12,low vs high,generalization,0.930106537012128,Age
26,RandomForest,no,Non-imaging,13,low vs high,validation,0.9495723449750536,Age
27,RandomForest,no,Non-imaging,13,low vs high,generalization,0.930106537012128,Age
28,RandomForest,no,Non-imaging,14,low vs high,validation,0.948058950395399,Age
29,RandomForest,no,Non-imaging,14,low vs high,generalization,0.9282549579243414,Age
30,RandomForest,no,Non-imaging,15,low vs high,validation,0.9133500357909808,Age
31,RandomForest,no,Non-imaging,15,low vs high,generalization,0.9302736307346844,Age
32,RandomForest,no,Non-imaging,16,low vs high,validation,0.9323717948717948,Age
33,RandomForest,no,Non-imaging,16,low vs high,generalization,0.9288316223306692,Age
34,RandomForest,no,Non-imaging,17,low vs high,validation,0.9488856937455068,Age
35,RandomForest,no,Non-imaging,17,low vs high,generalization,0.9286190207543604,Age
36,RandomForest,no,Non-imaging,18,low vs high,validation,0.9326662868537244,Age
37,RandomForest,no,Non-imaging,18,low vs high,generalization,0.9303340762808898,Age
38,RandomForest,no,Non-imaging,19,low vs high,validation,0.9418745545260158,Age
39,RandomForest,no,Non-imaging,19,low vs high,generalization,0.9294993024445012,Age
40,RandomForest,no,Non-imaging,20,low vs high,validation,0.906593014967926,Age
41,RandomForest,no,Non-imaging,20,low vs high,generalization,0.9297574118745624,Age
42,RandomForest,no,Non-imaging,21,low vs high,validation,0.9152777777777776,Age
43,RandomForest,no,Non-imaging,21,low vs high,generalization,0.927632785664262,Age
44,RandomForest,no,Non-imaging,22,low vs high,validation,0.9174242424242424,Age
45,RandomForest,no,Non-imaging,22,low vs high,generalization,0.931912608246162,Age
46,RandomForest,no,Non-imaging,23,low vs high,validation,0.9238247863247864,Age
47,RandomForest,no,Non-imaging,23,low vs high,generalization,0.9284369893393509,Age
48,RandomForest,no,Non-imaging,24,low vs high,validation,0.9283119658119658,Age
49,RandomForest,no,Non-imaging,24,low vs high,generalization,0.9272985982191492,Age
50,RandomForest,no,Non-imaging,25,low vs high,validation,0.9157801418439716,Age
51,RandomForest,no,Non-imaging,25,low vs high,generalization,0.9275111997954578,Age
52,RandomForest,no,Non-imaging,26,low vs high,validation,0.9284188034188036,Age
53,RandomForest,no,Non-imaging,26,low vs high,generalization,0.9324892726524896,Age
54,RandomForest,no,Non-imaging,27,low vs high,validation,0.9335323238206172,Age
55,RandomForest,no,Non-imaging,27,low vs high,generalization,0.9314724674010916,Age
56,RandomForest,no,Non-imaging,28,low vs high,validation,0.927881173944166,Age
57,RandomForest,no,Non-imaging,28,low vs high,generalization,0.9286801610769592,Age
58,RandomForest,no,Non-imaging,29,low vs high,validation,0.9450932915539098,Age
59,RandomForest,no,Non-imaging,29,low vs high,generalization,0.9298484275820672,Age
60,RandomForest,no,Non-imaging,30,low vs high,validation,0.9202794181189689,Age
61,RandomForest,no,Non-imaging,30,low vs high,generalization,0.9290136537456786,Age
62,RandomForest,no,Non-imaging,31,low vs high,validation,0.9274655963302753,Age
63,RandomForest,no,Non-imaging,31,low vs high,generalization,0.928695098769412,Age
64,RandomForest,no,Non-imaging,32,low vs high,validation,0.9403676261043032,Age
65,RandomForest,no,Non-imaging,32,low vs high,generalization,0.9302885684271376,Age
66,RandomForest,no,Non-imaging,33,low vs high,validation,0.9372772630078404,Age
67,RandomForest,no,Non-imaging,33,low vs high,generalization,0.9286040830619074,Age
68,RandomForest,no,Non-imaging,34,low vs high,validation,0.9336785714285716,Age
69,RandomForest,no,Non-imaging,34,low vs high,generalization,0.93077421712596,Age
70,RandomForest,no,Non-imaging,35,low vs high,validation,0.9255599472990778,Age
71,RandomForest,no,Non-imaging,35,low vs high,generalization,0.9294537945907488,Age
72,RandomForest,no,Non-imaging,36,low vs high,validation,0.922316585783614,Age
73,RandomForest,no,Non-imaging,36,low vs high,generalization,0.9271620746578922,Age
74,RandomForest,no,Non-imaging,37,low vs high,validation,0.9365384615384617,Age
75,RandomForest,no,Non-imaging,37,low vs high,generalization,0.9318215925386574,Age
76,RandomForest,no,Non-imaging,38,low vs high,validation,0.9192340607616604,Age
77,RandomForest,no,Non-imaging,38,low vs high,generalization,0.9294843647520482,Age
78,RandomForest,no,Non-imaging,39,low vs high,validation,0.9119763465374752,Age
79,RandomForest,no,Non-imaging,39,low vs high,generalization,0.9291352396144824,Age
80,RandomForest,no,Non-imaging,40,low vs high,validation,0.9458707744972186,Age
81,RandomForest,no,Non-imaging,40,low vs high,generalization,0.9305921857109508,Age
82,RandomForest,no,Non-imaging,41,low vs high,validation,0.9421592894583576,Age
83,RandomForest,no,Non-imaging,41,low vs high,generalization,0.9304250919883944,Age
84,RandomForest,no,Non-imaging,42,low vs high,validation,0.9226959517657192,Age
85,RandomForest,no,Non-imaging,42,low vs high,generalization,0.9313814516935872,Age
86,RandomForest,no,Non-imaging,43,low vs high,validation,0.9196364932287956,Age
87,RandomForest,no,Non-imaging,43,low vs high,generalization,0.9310778344097737,Age
88,RandomForest,no,Non-imaging,44,low vs high,validation,0.9158119658119658,Age
89,RandomForest,no,Non-imaging,44,low vs high,generalization,0.9306832014184556,Age
90,RandomForest,no,Non-imaging,45,low vs high,validation,0.9351728723404256,Age
91,RandomForest,no,Non-imaging,45,low vs high,generalization,0.9283154034705471,Age
92,RandomForest,no,Non-imaging,46,low vs high,validation,0.9367779204107832,Age
93,RandomForest,no,Non-imaging,46,low vs high,generalization,0.930728709272208,Age
94,RandomForest,no,Non-imaging,47,low vs high,validation,0.900702796696131,Age
95,RandomForest,no,Non-imaging,47,low vs high,generalization,0.9272381526729436,Age
96,RandomForest,no,Non-imaging,48,low vs high,validation,0.9241452991452992,Age
97,RandomForest,no,Non-imaging,48,low vs high,generalization,0.9290591615994308,Age
98,RandomForest,no,Non-imaging,49,low vs high,validation,0.9176091624910522,Age
99,RandomForest,no,Non-imaging,49,low vs high,generalization,0.9290136537456786,Age
100,RandomForest,no,Non-imaging,50,low vs high,validation,0.9335010783608916,Age
101,RandomForest,no,Non-imaging,50,low vs high,generalization,0.9331420150738688,Age
102,RandomForest,no,Non-imaging,51,low vs high,validation,0.9203292770221904,Age
103,RandomForest,no,Non-imaging,51,low vs high,generalization,0.9322617333837278,Age
104,RandomForest,no,Non-imaging,52,low vs high,validation,0.9117458279845956,Age
105,RandomForest,no,Non-imaging,52,low vs high,generalization,0.928922638038174,Age
106,RandomForest,no,Non-imaging,53,low vs high,validation,0.9541428571428572,Age
107,RandomForest,no,Non-imaging,53,low vs high,generalization,0.9290136537456786,Age
108,RandomForest,no,Non-imaging,54,low vs high,validation,0.9055,Age
109,RandomForest,no,Non-imaging,54,low vs high,generalization,0.9291352396144824,Age
110,RandomForest,no,Non-imaging,55,low vs high,validation,0.9321810406272274,Age
111,RandomForest,no,Non-imaging,55,low vs high,generalization,0.9302885684271376,Age
112,RandomForest,no,Non-imaging,56,low vs high,validation,0.92850527215731,Age
113,RandomForest,no,Non-imaging,56,low vs high,generalization,0.9293172710294918,Age
114,RandomForest,no,Non-imaging,57,low vs high,validation,0.9200854700854699,Age
115,RandomForest,no,Non-imaging,57,low vs high,generalization,0.9282549579243414,Age
116,RandomForest,no,Non-imaging,58,low vs high,validation,0.9321810406272274,Age
117,RandomForest,no,Non-imaging,58,low vs high,generalization,0.9331420150738688,Age
118,RandomForest,no,Non-imaging,59,low vs high,validation,0.9366399082568808,Age
119,RandomForest,no,Non-imaging,59,low vs high,generalization,0.9273896139266538,Age
120,RandomForest,no,Non-imaging,60,low vs high,validation,0.927703875072296,Age
121,RandomForest,no,Non-imaging,60,low vs high,generalization,0.9317000066698532,Age
122,RandomForest,no,Non-imaging,61,low vs high,validation,0.9367783321454028,Age
123,RandomForest,no,Non-imaging,61,low vs high,generalization,0.9314269595473392,Age
124,RandomForest,no,Non-imaging,62,low vs high,validation,0.912387676508344,Age
125,RandomForest,no,Non-imaging,62,low vs high,generalization,0.9309868187022691,Age
126,RandomForest,no,Non-imaging,63,low vs high,validation,0.9410800797948132,Age
127,RandomForest,no,Non-imaging,63,low vs high,generalization,0.9301975527196328,Age
128,RandomForest,no,Non-imaging,64,low vs high,validation,0.9449786324786326,Age
129,RandomForest,no,Non-imaging,64,low vs high,generalization,0.9273746762342008,Age
130,RandomForest,no,Non-imaging,65,low vs high,validation,0.9182712879760376,Age
131,RandomForest,no,Non-imaging,65,low vs high,generalization,0.9279968484942804,Age
132,RandomForest,no,Non-imaging,66,low vs high,validation,0.9198859586600144,Age
133,RandomForest,no,Non-imaging,66,low vs high,generalization,0.929984951143324,Age
134,RandomForest,no,Non-imaging,67,low vs high,validation,0.927583749109052,Age
135,RandomForest,no,Non-imaging,67,low vs high,generalization,0.9267219338128216,Age
136,RandomForest,no,Non-imaging,68,low vs high,validation,0.8878787878787879,Age
137,RandomForest,no,Non-imaging,68,low vs high,generalization,0.9265399023978124,Age
138,RandomForest,no,Non-imaging,69,low vs high,validation,0.9331718438301508,Age
139,RandomForest,no,Non-imaging,69,low vs high,generalization,0.9282094500705894,Age
140,RandomForest,no,Non-imaging,70,low vs high,validation,0.897625160462131,Age
141,RandomForest,no,Non-imaging,70,low vs high,generalization,0.9308958029947642,Age
142,RandomForest,no,Non-imaging,71,low vs high,validation,0.9222958375342072,Age
143,RandomForest,no,Non-imaging,71,low vs high,generalization,0.9290442239069776,Age
144,RandomForest,no,Non-imaging,72,low vs high,validation,0.9275948460987832,Age
145,RandomForest,no,Non-imaging,72,low vs high,generalization,0.9291352396144824,Age
146,RandomForest,no,Non-imaging,73,low vs high,validation,0.9620068366329584,Age
147,RandomForest,no,Non-imaging,73,low vs high,generalization,0.9327928899363028,Age
148,RandomForest,no,Non-imaging,74,low vs high,validation,0.928326914848096,Age
149,RandomForest,no,Non-imaging,74,low vs high,generalization,0.9319581160999144,Age
150,RandomForest,no,Non-imaging,75,low vs high,validation,0.9136721546170364,Age
151,RandomForest,no,Non-imaging,75,low vs high,generalization,0.9278603249330236,Age
152,RandomForest,no,Non-imaging,76,low vs high,validation,0.9473627010578176,Age
153,RandomForest,no,Non-imaging,76,low vs high,generalization,0.9308047872872596,Age
154,RandomForest,no,Non-imaging,77,low vs high,validation,0.9258087706685836,Age
155,RandomForest,no,Non-imaging,77,low vs high,generalization,0.9293627788832444,Age
156,RandomForest,no,Non-imaging,78,low vs high,validation,0.9445597709377236,Age
157,RandomForest,no,Non-imaging,78,low vs high,generalization,0.9302430605733852,Age
158,RandomForest,no,Non-imaging,79,low vs high,validation,0.92850527215731,Age
159,RandomForest,no,Non-imaging,79,low vs high,generalization,0.9319581160999144,Age
160,RandomForest,no,Non-imaging,80,low vs high,validation,0.9248540145985402,Age
161,RandomForest,no,Non-imaging,80,low vs high,generalization,0.928922638038174,Age
162,RandomForest,no,Non-imaging,81,low vs high,validation,0.9153571428571428,Age
163,RandomForest,no,Non-imaging,81,low vs high,generalization,0.9293172710294918,Age
164,RandomForest,no,Non-imaging,82,low vs high,validation,0.9282509614015098,Age
165,RandomForest,no,Non-imaging,82,low vs high,generalization,0.9316089909623486,Age
166,RandomForest,no,Non-imaging,83,low vs high,validation,0.9276850663243474,Age
167,RandomForest,no,Non-imaging,83,low vs high,generalization,0.9300610291583756,Age
