mean,std,target,learning_type,train_sizes
0.8867821559499824,0.06374431855002695,Age at assessment,train,100
0.8642310124444625,0.08459685584211867,Age at assessment,train,500
0.9028070227515255,0.035137931802784475,Age at assessment,train,1000
0.8877572233614633,0.044772783944390514,Age at assessment,train,1500
0.8926291376826921,0.05591663687746876,Age at assessment,train,2000
0.8941160933117815,0.06070878549262423,Age at assessment,train,2500
0.9198919668087927,0.05084676307414703,Age at assessment,train,3000
0.9391060334242581,0.02075299285858685,Age at assessment,train,3600
0.8959434878231284,0.04797876647926336,Age,train,100
0.8730825364002729,0.08130276263865359,Age,train,500
0.8929701382848798,0.04934526857346273,Age,train,1000
0.8926666742125979,0.05109325148393163,Age,train,1500
0.9039215642064797,0.05497668405480801,Age,train,2000
0.9224455564610872,0.047234185025256156,Age,train,2500
0.9306385603863429,0.03797441270599793,Age,train,3000
0.9395110883264688,0.016025434081682253,Age,train,3500
0.9388379656772382,0.016351221628427857,Age,train,3700
0.6653360927745708,0.18328144193637855,Fluid intelligence,train,100
0.5533570389481595,0.19719198082539274,Fluid intelligence,train,500
0.4871410667992553,0.227900076713992,Fluid intelligence,train,1000
0.4912413722790183,0.21846033824042924,Fluid intelligence,train,1500
0.5018214604734177,0.1984260628992678,Fluid intelligence,train,2000
0.49224672163277355,0.15748882754044194,Fluid intelligence,train,2500
0.47196675714243846,0.10928437516504264,Fluid intelligence,train,3000
0.49337311160333575,0.08824551011594671,Fluid intelligence,train,3500
0.487428296718005,0.05406022123233498,Fluid intelligence,train,3700
0.9182715498610416,0.03101487276236505,Neuroticism,train,100
0.8987373064258777,0.05563561768803592,Neuroticism,train,500
0.9098330914397893,0.052556426349092925,Neuroticism,train,1000
0.9128072781478153,0.04485270761727344,Neuroticism,train,1500
0.9084823642813393,0.05055918304328859,Neuroticism,train,2000
0.9208094942105542,0.04662068063954158,Neuroticism,train,2500
0.9154142341476991,0.05275890155496305,Neuroticism,train,3000
0.9196773509575871,0.049230763514723795,Neuroticism,train,3195
0.46875743276691234,0.04336855371767412,Age at assessment,validation,100
0.5635467949501445,0.037859768128111516,Age at assessment,validation,500
0.586732502067117,0.03329772523168293,Age at assessment,validation,1000
0.5957084725337137,0.03067189013669624,Age at assessment,validation,1500
0.603092605697139,0.03144406331548478,Age at assessment,validation,2000
0.6064203588342093,0.031547266071208294,Age at assessment,validation,2500
0.6082524549315609,0.031563434405771244,Age at assessment,validation,3000
0.6123736400218927,0.03025727264439912,Age at assessment,validation,3600
0.4679923875518002,0.04539730256941779,Age,validation,100
0.564599663262853,0.033647987266231125,Age,validation,500
0.5893666460908008,0.030883698264692908,Age,validation,1000
0.599230598631139,0.029837551905581468,Age,validation,1500
0.6057065922364988,0.029809907473918672,Age,validation,2000
0.6108389928448194,0.030027043968039298,Age,validation,2500
0.6151267020846636,0.031082174088320987,Age,validation,3000
0.618010082652429,0.030137309913155195,Age,validation,3500
0.6180031772337131,0.030141118071215552,Age,validation,3700
0.023413475687393038,0.042676319591153214,Fluid intelligence,validation,100
0.11739201702295919,0.03204683050833976,Fluid intelligence,validation,500
0.1361598166003868,0.02927088158745146,Fluid intelligence,validation,1000
0.1451986160264868,0.028561695171132915,Fluid intelligence,validation,1500
0.15350853688675786,0.030285484765123136,Fluid intelligence,validation,2000
0.1582996235830209,0.029390678085191232,Fluid intelligence,validation,2500
0.1620873105003302,0.02977656065176268,Fluid intelligence,validation,3000
0.1659493289108118,0.029891353877610518,Fluid intelligence,validation,3500
0.16716484571494072,0.03034753594907054,Fluid intelligence,validation,3700
0.5048907389289985,0.04767184647560208,Neuroticism,validation,100
0.5836437765785436,0.033197478285754894,Neuroticism,validation,500
0.6035209334411293,0.02943019730925593,Neuroticism,validation,1000
0.6105719713020763,0.029896017189972566,Neuroticism,validation,1500
0.6145485888813369,0.0309577829615202,Neuroticism,validation,2000
0.6174182953018539,0.02947601098385508,Neuroticism,validation,2500
0.6191353589096301,0.03034109805414252,Neuroticism,validation,3000
0.6201138470131748,0.03046581410550559,Neuroticism,validation,3195
